# ----------------------------------------
# Medhavi Skills University website
# Free form-Free form 1
# 20260827-20260923
# ----------------------------------------

Device category,mobile,desktop,tablet,Totals
City,Active users,Active users,Active users,Active users
Bhusawal,0,1,0,1
Birendranagar,0,1,0,1
Bishalgarh,1,0,0,1
Bloomfield,1,0,0,1
Boisar,1,0,0,1
Boise,1,0,0,1
Bommasandra,0,1,0,1
Boulogne-sur-Mer,0,1,0,1
Boumerdes,0,1,0,1
Brambleton,0,1,0,1
Bramhapuri,1,0,0,1
Brampton,1,0,0,1
Bremen,0,1,0,1
Bridport,0,1,0,1
Bruck an der Leitha,1,0,0,1
Brussels,1,0,0,1
Bundaberg,1,0,0,1
Buon Ma Thuot,0,1,0,1
Burnaby,0,1,0,1
Burnley,0,1,0,1
Butterworth,0,1,0,1
Butzbach,0,1,0,1
Buxar,1,0,0,1
Cairo,1,0,0,1
Calauan,1,0,0,1
Calgary,0,1,0,1
Cali,0,1,0,1
Cam Pha,0,1,0,1
Campo Grande,0,1,0,1
Campos dos Goytacazes,0,1,0,1
Cangzhou,0,1,0,1
Canton,0,1,0,1
Caycuma,0,1,0,1
Celina,1,0,0,1
Chamba,1,0,0,1
Chandrapura,1,0,0,1
Changanasseri,0,1,0,1
Changsari,0,1,0,1
Changsha,0,1,0,1
Charlotte,1,0,0,1
Charoda,1,0,0,1
Chauth Ka Barwara,1,0,0,1
Chavara,1,0,0,1
Chebrolu,1,0,0,1
Chengalpattu,1,0,0,1
Chengannur,1,0,0,1
Cherthala,0,1,0,1
Cheshire,1,0,0,1
Chesterfield,0,1,0,1
Chhabra,1,0,0,1
Chicalim,1,0,0,1
Chidambaram,0,1,0,1
Chillakur,1,0,0,1
Chingavanam,1,0,0,1
Chintamani,1,0,0,1
Chiplun,0,1,0,1
Chirala,0,1,0,1
Chiredzi,1,0,0,1
Chittaranjan,1,0,0,1
Chongzuo,0,1,0,1
Cincinnati,0,1,0,1
City of Santa Rosa,1,0,0,1
Clearlake,1,0,0,1
Coimbra,0,1,0,1
Comox,0,1,0,1
Coonoor,0,1,0,1
Coppell,1,0,0,1
Corlim,1,0,0,1
Corte Madera,1,0,0,1
Cuernavaca,0,1,0,1
Curepipe,1,0,0,1
Curitiba,0,1,0,1
Cyberjaya,0,1,0,1
Dabhoi,1,0,0,1
Dadri,0,1,0,1
Dahanu,1,0,0,1
Daher,1,0,0,1
Dahmi Kalan,0,1,0,1
Dahod,1,0,0,1
Dakar,0,1,0,1
Dakshinkali,0,1,0,1
Dale,0,1,0,1
Dalsinghsarai,1,0,0,1
Damak,0,1,0,1
Damoh,1,0,0,1
Danapur,0,1,0,1
Dantewada,1,0,0,1
Darmstadt,0,1,0,1
Dasmarinas,0,0,1,1
Dataganj,1,0,0,1
Daudnagar,1,0,0,1
Dausa,1,0,0,1
David,0,1,0,1
Decatur,1,0,0,1
Deggendorf,1,0,0,1
Dehgam,1,0,0,1
Dehiwala-Mount Lavinia,0,1,0,1
Dehri,0,1,0,1
Denver,0,1,0,1
Deoband,1,0,0,1
Deori,0,1,0,1
Deoria,1,0,0,1
Dera Bassi,0,1,0,1
Dergaon Circle,1,0,0,1
Desuri,1,0,0,1
Desvres,1,0,0,1
Detroit,1,0,0,1
Devachuli,0,1,0,1
Devlali,1,0,0,1
Dhahran,0,1,0,1
Dhamdod,0,1,0,1
Dhampur,0,1,0,1
Dharamshala,0,1,0,1
Dharmapuri,0,1,0,1
Dhemaji,0,0,1,1
Dhubri Circle,1,0,0,1
Dibiyapur,1,0,0,1
Digras,1,0,0,1
Diphu,1,0,0,1
Dong Hoi,0,1,0,1
Dourados,0,1,0,1
Duggirala,1,0,0,1
Duque de Caxias,0,1,0,1
Dushanbe,0,1,0,1
Duvvur,1,0,0,1
Edappal,0,1,0,1
Edinburgh,1,0,0,1
Edison,0,1,0,1
Eichendorf,0,1,0,1
Eindhoven,1,0,0,1
El Jadida,0,1,0,1
Elamanchili,1,0,0,1
Elk Grove Village,0,1,0,1
Ellenbrook,0,0,1,1
Elon Moreh,0,1,0,1
Eluru,0,1,0,1
Ersama,0,1,0,1
Essen,1,0,0,1
Etah,1,0,0,1
Faridkot,1,0,0,1
Farrukhabad,1,0,0,1
Fatehgarh Sahib,0,1,0,1
Fatwah,0,1,0,1
Fayetteville,0,1,0,1
Fazilka,1,0,0,1
Feltham,1,0,0,1
Feni,1,0,0,1
Fes,1,0,0,1
Firozpur,1,0,0,1
Five Corners,1,0,0,1
Flint Hill,0,1,0,1
Flower Mound,0,1,0,1
Fort Lee,0,1,0,1
Franca,0,1,0,1
Francisco Morato,0,1,0,1
Frankfurt an der Oder,0,1,0,1
Franklin,0,1,0,1
Fredericton,0,1,0,1
Friant,0,1,0,1
Fronteira,0,1,0,1
Fujairah,0,1,0,1
Fulambri,1,0,0,1
Gaborone,1,0,0,1
Gajraula,0,1,0,1
Gajwel,0,1,0,1
Gandevi,0,1,0,1
Gangavaram,1,0,0,1
Gazipur,0,1,0,1
General Escobedo,0,1,0,1
General Las Heras,0,1,0,1
Gharaunda,1,0,0,1
Giza,0,1,0,1
Glasgow,1,0,0,1
Godda,1,0,0,1
Gogari,0,1,0,1
Goharganj,0,0,1,1
Gold Coast,0,1,0,1
Gonda,1,0,0,1
Gonzales,0,1,0,1
Goraya,1,0,0,1
Grabouw,0,1,0,1
Grand Forks,0,1,0,1
Greater Sudbury,0,1,0,1
Grove City,0,1,0,1
Guarulhos,0,1,0,1
Guelma,0,1,0,1
Guildford,1,0,0,1
Gulfport,1,0,0,1
Gumla,0,1,0,1
Gunnison,0,1,0,1
Guru Har Sahai,1,0,0,1
Haarlem,1,0,0,1
Hagonoy,1,0,0,1
Hansi,1,0,0,1
Harda,1,0,0,1
Harrow,1,0,0,1
Hartwell,0,1,0,1
Hasanganj,0,1,0,1
Haslet,0,1,0,1
Hat Yai,0,1,0,1
Hata,1,0,0,1
Havana,0,1,0,1
Haverhill,0,1,0,1
Hazira,1,0,0,1
Heihe,0,1,0,1
Helensburgh,1,0,0,1
Henderson,0,1,0,1
Hermosa,0,1,0,1
Heroica Veracruz,0,1,0,1
Hetauda,0,1,0,1
Hialeah Gardens,0,1,0,1
Highgate,1,0,0,1
Hinganghat,1,0,0,1
Hitchcock,0,1,0,1
Hoa Binh,0,1,0,1
Hohhot,0,1,0,1
Holalkere,0,1,0,1
Hope,1,0,0,1
Hosdurg,1,0,0,1
Hue,0,1,0,1
Hulunbuir,0,1,0,1
Ibrahimpatnam,1,0,0,1
Idukki,0,1,0,1
Ihiagwa,0,1,0,1
Imperatriz,1,0,0,1
Indri,1,0,0,1
Ipiales,0,1,0,1
Iquique,0,1,0,1
Irbid,0,1,0,1
Iritty,1,0,0,1
Istanbul,1,0,0,1
Itaquaquecetuba,0,1,0,1
Itaqui,0,1,0,1
Itay Al Barud,1,0,0,1
Ituiutaba,0,1,0,1
Jagatsinghpur,1,0,0,1
Jalalabad,1,0,0,1
Jalaun,1,0,0,1
Jalor,1,0,0,1
Jamalpur,1,0,0,1
Jaoli,0,1,0,1
Jarvenpaa,0,1,0,1
Jashore,1,0,0,1
Jasidih,1,0,0,1
Jath,1,0,0,1
Jawilan,0,1,0,1
Jayal,1,0,0,1
Jerusalem,0,1,0,1
Jetpur,1,0,0,1
Jhanjharpur,1,0,0,1
Jharol,0,1,0,1
Jhunjhunu,1,0,0,1
Jinhua,0,1,0,1
Jintur,1,0,0,1
Jos,1,0,0,1
Juan Jose Castelli,0,1,0,1
Kabul,1,0,0,1
Kadayanallur,1,0,0,1
Kadiri,1,0,0,1
Kagal,1,0,0,1
Kahalgaon,1,0,0,1
Kalavad,1,0,0,1
Kalol,1,0,0,1
Kalpetta,0,1,0,1
Kalpi,0,0,1,1
Kambipura,1,0,0,1
Kanchipuram,1,0,0,1
Kanchrapara,1,0,0,1
Kandhar,1,0,0,1
Kandi,1,0,0,1
Kangpokpi,1,0,0,1
Kanpur Nagar,1,0,0,1
Kapilvastu,0,1,0,1
Kapriwas,0,1,0,1
Karad,1,0,0,1
Karaikudi,0,1,0,1
Karera,0,1,0,1
Karhal,1,0,0,1
Karimganj,1,0,0,1
Karjat,0,1,0,1
Karlovo,0,1,0,1
Karlsruhe,0,1,0,1
Karmala,1,0,0,1
Karuvatta,1,0,0,1
Karwar,1,0,0,1
Kasaragod,1,0,0,1
Kasganj,1,0,0,1
Kasibugga,1,0,0,1
Kathua,1,0,0,1
Kattankudy,1,0,0,1
Katwa,1,0,0,1
Kearny,1,0,0,1
Kerch,0,1,0,1
Khaga,1,0,0,1
Khair,0,0,1,1
Khamanon,0,1,0,1
Khambhaliya,1,0,0,1
Khandela,1,0,0,1
Kharagpur Railway Settlement,1,0,0,1
Khatima,0,1,0,1
Khatoo,1,0,0,1
Khon Kaen,1,0,0,1
Khordha,1,0,0,1
Khowai,1,0,0,1
Kigali,1,0,0,1
Kilimanoor,1,0,0,1
Kindred,0,1,0,1
Kingston,0,1,0,1
Kinwat,1,0,0,1
Kishangarh Bas,1,0,0,1
Kishoreganj,0,1,0,1
Klang,0,1,0,1
Klundert,0,1,0,1
Kodinar,1,0,0,1
Koh Samui,1,0,0,1
Kokrajhar Circle,1,0,0,1
Koralur,0,1,0,1
Korce,0,1,0,1
Koregaon,1,0,0,1
Korosten',0,1,0,1
Korutla,1,0,0,1
Kosice,1,0,0,1
Kotdwar,1,0,0,1
Kotka,0,1,0,1
Kotma,1,0,0,1
Koto City,0,1,0,1
Kotpad,0,1,0,1
Kottarakara,1,0,0,1
Kottavalasa,1,0,0,1
Kovilpatti,1,0,0,1
Kovvur,0,1,0,1
Krasnodar,1,0,0,1
Krishnapuram,0,1,0,1
Krynica-Zdroj,0,1,0,1
Kullu,0,1,0,1
Kulpahar,1,0,0,1
Kulti,1,0,0,1
Kumta,1,0,0,1
Kurmalguda,0,1,0,1
Kurumbathur,0,1,0,1
Kushtagi,1,0,0,1
Kutail,1,0,0,1
Kuthambakkam,0,1,0,1
Kuttanad,0,1,0,1
Kyiv,0,1,0,1
La Paz,0,1,0,1
La Seyne-sur-Mer,0,1,0,1
Lake Havasu City,1,0,0,1
Lakhisarai,1,0,0,1
Laksam Paurashava,0,1,0,1
Lalbag,0,1,0,1
Lalganj,1,0,0,1
Lalru,0,1,0,1
Lamesa,0,1,0,1
Landsberg am Lech,1,0,0,1
Lanka Circle,1,0,0,1
Lavras,0,1,0,1
Le Mars,0,1,0,1
Leicester,1,0,0,1
Leipzig,0,1,0,1
Leominster,1,0,0,1
Libreville,0,1,0,1
Lijiang,0,1,0,1
Lille,0,1,0,1
Lindau,0,1,0,1
Lins,0,1,0,1
Linyi,1,0,0,1
Litchfield,1,0,0,1
Ljubljana,1,0,0,1
Loha,0,1,0,1
Lohardaga,1,0,0,1
Long Beach,1,0,0,1
Long Xuyen,0,1,0,1
Lower Hutt,0,1,0,1
Ludwigsburg,1,0,0,1
Lugano,1,0,0,1
Lunawada,0,1,0,1
Mabalacat City,0,1,0,1
Machen,0,1,0,1
Madanapalle,1,0,0,1
Madhubani,1,0,0,1
Madison,0,1,0,1
Madukkarai,0,1,0,1
Magarlor,0,1,0,1
Magdeburg,1,0,0,1
Mahabubabad,0,1,0,1
Mahuva,1,0,0,1
Maihar,1,0,0,1
Mainpuri,0,1,0,1
Majorda,0,1,0,1
Makati City,1,0,0,1
Mamit,1,0,0,1
Manak Majra,1,0,0,1
Manakunnam,0,1,0,1
Manali,1,0,0,1
Manantavadi,0,1,0,1
Manarcadu,1,0,0,1
Mandi Dabwali,0,1,0,1
Mandi Gobindgarh,0,1,0,1
Mandya,1,0,0,1
Mangaldai,0,1,0,1
Mangrol,1,0,0,1
Manikkal,1,0,0,1
Mannarkkad,1,0,0,1
Manta,0,1,0,1
Manteca,0,1,0,1
Maracay,0,1,0,1
Mariani Circle,1,0,0,1
Marilia,0,1,0,1
Markham,1,0,0,1
Martinez,0,1,0,1
Marwad,1,0,0,1
Mason,1,0,0,1
Mathabhanga,1,0,0,1
Matia Circle,0,1,0,1
Mavli,0,1,0,1
Mawal,0,1,0,1
Mayiladuthurai,1,0,0,1
Mbabane,0,1,0,1
McLean,0,1,0,1
Medan,1,0,0,1
Medininagar,0,1,0,1
Meknes,0,1,0,1
Mendoza,0,1,0,1
Mhow,1,0,0,1
Miami,1,0,0,1
Millis,0,1,0,1
Mirganj,1,0,0,1
Mocoa,0,1,0,1
Moers,1,0,0,1
Moga,1,0,0,1
Mohanpur,0,1,0,1
Mohiuddinpur,1,0,0,1
Mohol,1,0,0,1
Mokokchung,1,0,0,1
Mold,0,1,0,1
Monroe,0,1,0,1
Monrovia,1,0,0,1
Montevideo,0,1,0,1
Montfermeil,0,1,0,1
Montijo,0,1,0,1
Montlucon,1,0,0,1
Motala,0,1,0,1
Mountain View,0,1,0,1
Muharraq,0,1,0,1
Muju-gun,0,1,0,1
Mukundapuram,1,0,0,1
Mullanpur Dakha,1,0,0,1
Multai,1,0,0,1
Multan,0,1,0,1
Munpalle,1,0,0,1
Murang'a,1,0,0,1
Murfreesboro,0,1,0,1
Muriae,0,1,0,1
Mussoorie,0,1,0,1
Muvattupuzha,1,0,0,1
Nablus,0,1,0,1
Nador,0,1,0,1
Nagarkurnool,0,1,0,1
Nagaur,0,1,0,1
Nagda,1,0,0,1
Nahan,1,0,0,1
Nainwa,0,1,0,1
Nakkapalli,1,0,0,1
Nandurbar,0,1,0,1
Nandyala,1,0,0,1
Nangal,0,1,0,1
Narasaraopet,1,0,0,1
Narayanganj,0,1,0,1
Narayanpur,1,0,0,1
Narwana,0,1,0,1
Nasirabad,0,1,0,1
Nassau,0,1,0,1
Nathdwara,1,0,0,1
Navelim Village,1,0,0,1
Nawada,0,0,1,1
Naxxar,0,1,0,1
Nedumangad,1,0,0,1
Neem Ka Thana,1,0,0,1
Neemuch,1,0,0,1
Nepalgunj,0,1,0,1
Neral,1,0,0,1
Neuquen,0,1,0,1
New Administrative Capital,0,1,0,1
New Damietta City,1,0,0,1
New Mahe,1,0,0,1
New Plymouth,0,1,0,1
New Westminster,1,0,0,1
Newton,0,1,0,1
Neyveli T.S,1,0,0,1
Nice,0,1,0,1
Nidubrolu,0,1,0,1
Nindar,1,0,0,1
Nipigon,1,0,0,1
Nizhny Novgorod,0,1,0,1
Nohar,1,0,0,1
Normal,0,1,0,1
North Barrackpur,1,0,0,1
Nossa Senhora da Gloria,0,1,0,1
Notre-Dame-de-l'Ile-Perrot,0,1,0,1
Nuh,1,0,0,1
Nuremberg,0,1,0,1
Nuvem,1,0,0,1
Oberursel,0,1,0,1
Okara,0,1,0,1
Omsk,0,1,0,1
Oshawa,0,1,0,1
Oslo Municipality,0,1,0,1
Osorio,0,1,0,1
Ouddorp,1,0,0,1
Pachuca,0,1,0,1
Pakala,1,0,0,1
Pakhanjur,1,0,0,1
Palakollu,1,0,0,1
Palauig,0,1,0,1
Palia Kalan,0,1,0,1
Panagarh,0,1,0,1
Pancevo,0,1,0,1
Panruti,0,1,0,1
Pantran,1,0,0,1
Paranavai,0,1,0,1
Parli-Vai,1,0,0,1
Parras de la Fuente,0,1,0,1
Parwanoo,1,0,0,1
Pasto,0,1,0,1
Pataudi,1,0,0,1
Patori,0,1,0,1
Patterson,0,1,0,1
Pavlodar,0,1,0,1
Payyannur,1,0,0,1
Pedro Leopoldo,0,1,0,1
Pehowa,1,0,0,1
Perigueux,1,0,0,1
Perintalmanna,1,0,0,1
Peshawar,0,1,0,1
Petit Raffray,1,0,0,1
Phalodi,1,0,0,1
Phan Rang,0,1,0,1
Pharenda,1,0,0,1
Phek,1,0,0,1
Philadelphia,1,0,0,1
Phu Ly,0,1,0,1
Phulparas,0,1,0,1
Pietermaritzburg,0,1,0,1
Pilani,0,1,0,1
Pilern,1,0,0,1
Pinetown,1,0,0,1
Pinjore,1,0,0,1
Pirassununga,0,1,0,1
Pirmed,1,0,0,1
Piro,1,0,0,1
Pithapuram,1,0,0,1
Plovdiv,0,1,0,1
Ponneri,0,1,0,1
Ponta Grossa,0,1,0,1
Pontotoc,0,1,0,1
Popayan,0,1,0,1
Port Alberni,1,0,0,1
Port Louis,0,1,0,1
Porumamilla,0,1,0,1
Posadas,0,1,0,1
Prebbleton,0,1,0,1
Pudupakkam,1,0,0,1
Pudussery West,0,1,0,1
Puebla,0,1,0,1
Punahana,0,1,0,1
Purna,1,0,0,1
Purwa,1,0,0,1
Qinhuangdao,0,1,0,1
Quezon City,1,0,0,1
Quilmes,0,1,0,1
Quito,0,1,0,1
Radhapuram,1,0,0,1
Raebareli,1,0,0,1
Raghogarh,0,1,0,1
Raghunathganj,0,1,0,1
Rajauli,0,0,1,1
Rajgarh,0,1,0,1
Rajgurunagar,1,0,0,1
Rajshahi,1,0,0,1
Ramagundam,1,0,0,1
Ramgarh Cantonment,1,0,0,1
Ramsey,1,0,0,1
Ranebennur,1,0,0,1
Ranipet,0,1,0,1
Raptadu,0,1,0,1
Ras Al-Khaimah,1,0,0,1
Ratia,1,0,0,1
Ratnagiri,1,0,0,1
Ratnanagar,0,1,0,1
Redmond,0,1,0,1
Regina,1,0,0,1
Reno,0,1,0,1
Resistencia,0,1,0,1
Reston,0,1,0,1
Rheinbollen,1,0,0,1
Ribeirao Preto,0,1,0,1
Richland,0,1,0,1
Rio Grande,0,1,0,1
Rio Pomba,0,1,0,1
Rio das Pedras,0,1,0,1
Rohnert Park,1,0,0,1
Rome,1,0,0,1
Roseau,1,0,0,1
Rosera,1,0,0,1
Sacramento,0,1,0,1
Sahaswan,1,0,0,1
Saidpur,1,0,0,1
Saiha,1,0,0,1
Saint Matthews,0,1,0,1
Saint-Didier-au-Mont-d'Or,0,1,0,1
Sakoli,1,0,0,1
Salahutu,0,1,0,1
Sale,0,1,0,1
Salmiya,0,1,0,1
Salzgitter,1,0,0,1
Sambhal,1,0,0,1
San Diego,1,0,0,1
San Jose del Monte,1,0,0,1
San Juan de Los Morros,0,1,0,1
San Martin Texmelucan de Labastida,0,1,0,1
San Mateo,1,0,0,1
San Nicolas de los Garza,0,1,0,1
San Pedro,0,1,0,1
San Tan Valley,0,1,0,1
Sanaa,1,0,0,1
Sanand,1,0,0,1
Sancoale,0,1,0,1
Sandakan,0,1,0,1
Sangam,1,0,0,1
Sangamner,1,0,0,1
Sanganer,0,1,0,1
Sankhol,1,0,0,1
Sanliurfa,0,1,0,1
Santa Barbara,0,1,0,1
Santa Barbara d'Oeste,0,1,0,1
Santa Cruz De La Sierra,0,1,0,1
Santa Cruz de Mara,0,1,0,1
Santa Fe,1,0,0,1
Santo Antonio de Jesus,0,1,0,1
Santo Domingo,0,1,0,1
Sao Jose do Rio Preto,0,1,0,1
Sao Luis,0,1,0,1
Sao Paulo,0,1,0,1
Saraburi,1,0,0,1
Sargodha,1,0,0,1
Satari,0,1,0,1
Sathanur,1,0,0,1
Satna,1,0,0,1
Sayh Mudayrah,1,0,0,1
Schenectady,1,0,0,1
Schorndorf,1,0,0,1
Selma,1,0,0,1
Semri,0,1,0,1
Serchhip,1,0,0,1
Serdang,0,1,0,1
Sete Lagoas,0,1,0,1
Sfax,0,1,0,1
Shahabad,1,0,0,1
Shahapur,1,0,0,1
Shahbad,0,1,0,1
Shamli,0,1,0,1
Sharah Kajani,0,1,0,1
Sharon,0,1,0,1
Sharsha,0,1,0,1
Sheffield,1,0,0,1
Sheikhpura,1,0,0,1
Sherghati,1,0,0,1
Sherpur,0,1,0,1
Shikarpur,1,0,0,1
Shindkhed,1,0,0,1
Shrewsbury,1,0,0,1
Shri Dungargarh,1,0,0,1
Shri Madhopur,1,0,0,1
Siddipet,0,1,0,1
Sidi Bel Abbes,1,0,0,1
Sinop,0,1,0,1
Sirhind,1,0,0,1
Sirkazhi,1,0,0,1
Sirsilla,1,0,0,1
Siruguppa,1,0,0,1
Siruseri,1,0,0,1
Sirvel,1,0,0,1
Siwana,0,1,0,1
Slough,1,0,0,1
Soegaon,1,0,0,1
Sohar,1,0,0,1
Southport,1,0,0,1
Spring Hill,0,1,0,1
Sri City,1,0,0,1
Sri Muktsar Sahib,1,0,0,1
Stavropol,0,1,0,1
Strasbourg,1,0,0,1
Subang Jaya,0,1,0,1
Sudbury,0,1,0,1
Sujangarh,0,1,0,1
Sukteri,1,0,0,1
Sulaymaniyah,0,1,0,1
Sullurupeta,1,0,0,1
Sumedang,0,1,0,1
Suva,1,0,0,1
Tabuk,0,1,0,1
Tacoma,0,1,0,1
Taguig,0,1,0,1
Taiyuan,1,0,0,1
Talcher,1,0,0,1
Tallarevu,1,0,0,1
Tallinn,0,1,0,1
Tama,0,1,0,1
Tanda,1,0,0,1
Tangier,0,1,0,1
Tangutur,0,1,0,1
Tanuku,0,1,0,1
Taoru,0,1,0,1
Tarana,1,0,0,1
Tarlac City,1,0,0,1
Tarn Taran Sahib,1,0,0,1
Tartu,0,1,0,1
Tazmalt,0,1,0,1
Tegucigalpa,0,1,0,1
Temecula,0,1,0,1
Temuco,0,1,0,1
Tenkasi,1,0,0,1
Teofilo Otoni,0,1,0,1
Thenzawl,0,1,0,1
Thessaloniki,1,0,0,1
Thoubal,0,1,0,1
Three Rivers,0,1,0,1
Tijuana,0,1,0,1
Tilburg,0,1,0,1
Tirumangalam,0,1,0,1
Tiruverumbur,0,1,0,1
Tirwa,1,0,0,1
Toluca,0,1,0,1
Topchanchi,1,0,0,1
Toulouse,0,1,0,1
Townsville,1,0,0,1
Tra Vinh,0,1,0,1
Tuljapur,1,0,0,1
Tullins,0,1,0,1
Udgir,1,0,0,1
Ufa,0,1,0,1
Ulaanbaatar,0,1,0,1
Umargam,1,0,0,1
Umarkot,0,1,0,1
Upton,0,1,0,1
Vaijapur,1,0,0,1
Valencia,0,1,0,1
Vancouver,0,1,0,1
Vangaon,1,0,0,1
Vaniyambadi,1,0,0,1
Varkala,1,0,0,1
Varnita,0,1,0,1
Vengadamangalam,0,1,0,1
Venkatapuram,0,0,1,1
Verviers,0,1,0,1
Villavicencio,0,1,0,1
Villupuram,1,0,0,1
Viramgam,1,0,0,1
Vyara,1,0,0,1
Waco,0,1,0,1
Wadakkanchery,1,0,0,1
Walajapet,1,0,0,1
Walwa,1,0,0,1
Wanadongri,1,0,0,1
Wanaparthy,1,0,0,1
Wang Taku,1,0,0,1
Wani,1,0,0,1
Washim,1,0,0,1
Washington,0,1,0,1
Wayne,0,1,0,1
West Lafayette,0,1,0,1
West Vancouver,0,1,0,1
Westborough,1,0,0,1
Whistler,1,0,0,1
Williamston,1,0,0,1
Wilmington,0,1,0,1
Windsor,1,0,0,1
Witten,0,1,0,1
Wonosari,0,1,0,1
Yanam,0,1,0,1
Yeadon,0,1,0,1
Yinchuan,0,1,0,1
Yusufpur Manota,1,0,0,1
Zheleznogorsk,0,1,0,1
Zingst,0,1,0,1
Zlin,0,1,0,1
Zuhres,0,1,0,1
Zurich,1,0,0,1

